condition,question_id,video_id,set,question,generated_answer,actual_answer,kg_components,kg_hint_used,judge_score
A_FT,Morning3-3min_clips_17039,clip_000.mp4,Set_26,What large marking is painted in the central lane near the camera?,A double white line is painted in the central lane near the camera.,A white “X” marking is painted there,none,False,0
A_FT,Morning3-3min_clips_17040,clip_000.mp4,Set_26,What colour is the tall building on the right side of the road?,The tall building on the right side of the road is white in color.,It is a beige-grey concrete colour,none,False,0
A_FT,Morning3-3min_clips_17139,clip_010.mp4,Set_26,What large marking is painted in the central lane near the camera and are there any other signs apart from that?,There is no large marking painted in the central lane near the camera. There are no other signs apart from that.,A white “X” marking is painted there and there is a yellow street sign on the road,none,False,0
A_FT,Morning3-3min_clips_17140,clip_010.mp4,Set_26,What colour is the train that crosses the road?,Purple,It is purple grey and green in color,none,False,1
A_FT,Morning5-3min_clips_17999,clip_000.mp4,Set_30,What large marking is painted in the central lane near the camera?,A white cross is painted in the central lane near the camera.,A white “X” road marking,none,False,1
A_FT,Morning5-3min_clips_18000,clip_000.mp4,Set_30,What colour is the tall building on the right side of the street?,The tall building on the right side of the street is white in color.,It is beige-grey concrete,none,False,0
A_FT,Morning5-3min_clips_18099,clip_010.mp4,Set_30,What prominent white marking is painted in the centre lane?,A solid white line is painted in the center lane.,A large white “X” marking,none,False,0
A_FT,Morning5-3min_clips_18100,clip_010.mp4,Set_30,What kind of tall plant is visible near the road's centre?,Palm tree,A few palm trees and smaller trees,none,False,1
A_FT,Morning5-3min_clips_18110,clip_011.mp4,Set_30,What kind of tall plant is visible near the road's centre?,Palm tree,A few palm trees and other smaller trees,none,False,1
A_FT,Morning5-3min_clips_18120,clip_012.mp4,Set_30,What kind of tall plant is visible near the road's centre?,Palm tree,A few palm trees and a few trees by the road,none,False,1
A_FT,Morning5-3min_clips_18140,clip_014.mp4,Set_30,What kind of tall plant is visible near the road's centre?,Palm tree,A few palm trees,none,False,1
A_FT,Morning5-3min_clips_18150,clip_015.mp4,Set_30,What kind of tall plant is visible near the road's centre?,Palm tree,A single palm tree,none,False,1
A_FT,Morning4-12min_clips_17639,clip_040.mp4,Set_33,What large marking is visible in the middle lane nearest the camera?,A solid white line is visible in the middle lane nearest the camera.,A white “X” road marking,none,False,0
A_FT,17239,clip_000.mp4,Set_33,What road marking is visible on the center lane closest to the camera?,Center line,The train tracks are enclosed by a keep-clear box so drivers avoid stopping on the crossing.,none,False,0
A_FT,17244,clip_000.mp4,Set_33,What color does the tall roadside building on the right seem to be?,The tall roadside building on the right seems to be white in color.,a softly colored concrete building.,none,False,0
A_FT,17248,clip_001.mp4,Set_33,What pavement marking is visible on the center lane closest to the camera?,Center line,A boxed road marking surrounds the rail crossing to keep vehicles clear when a train approaches.,none,False,0
A_FT,17251,clip_001.mp4,Set_33,How does the tall building on the right side of the road appear in terms of color?,The tall building on the right side of the road appears to be white.,a muted concrete-toned structure.,none,False,0
A_FT,17261,clip_002.mp4,Set_33,What boxed road marking is painted on the lane nearest the camera?,A crosswalk.,A boxed road marking is painted on the lane nearest the camera.,none,False,0
A_FT,17266,clip_002.mp4,Set_33,How does the tall building on the right appear visually in color?,The tall building on the right appears to be white in color.,a light-toned urban building.,none,False,0
A_FT,17274,clip_003.mp4,Set_33,What painted marking is visible on the center lane closest to the camera?,A crosswalk is painted on the center lane closest to the camera.,A rectangular keep-clear marking surrounds the tracks to keep the crossing unobstructed.,none,False,0
A_FT,17276,clip_003.mp4,Set_33,Can you determine what color is the tall structure located on the right?,The tall structure located on the right is white in color.,a light-toned urban building.,none,False,0
A_FT,17277,clip_003.mp4,Set_33,What coloring is visible on the tall building situated on the right side?,White and black.,The lighting conditions appear bright and clear.,none,False,0
A_FT,17280,clip_004.mp4,Set_33,What painted symbol is visible on the center lane closest to the camera?,X,"A marked box outlines the rail crossing, signaling cars not to block the tracks.",none,False,0
A_FT,17287,clip_004.mp4,Set_33,What coloring is visible on the tall building situated on the right side?,White and black.,a subdued concrete-colored facade.,none,False,0
A_FT,17291,clip_005.mp4,Set_33,What road marking is visible on the center lane nearest the camera?,Center line,The roadway shows a boxed keep-clear marking around the rails for crossing safety.,none,False,0
A_FT,17299,clip_006.mp4,Set_33,What color tone does the tall building on the right appear to have?,The tall building on the right appears to have a grey tone.,a pale neutral-toned facade.,none,False,1
A_FT,17301,clip_006.mp4,Set_33,What pavement marking is visible on the center lane nearest the camera?,Centerline,The roadway shows a boxed keep-clear marking around the rails for crossing safety.,none,False,0
A_FT,17308,clip_007.mp4,Set_33,What lane marking is visible on the center lane nearest the camera?,Center line,A boxed road marking surrounds the rail crossing to keep vehicles clear when a train approaches.,none,False,0
A_FT,17327,clip_008.mp4,Set_33,What painted marking is visible on the center lane nearest the camera?,A white crosswalk is visible on the center lane nearest the camera.,Clear natural lighting is present.,none,False,0
A_FT,17334,clip_009.mp4,Set_33,What painted symbol is visible on the center lane nearest the camera?,X,A rectangular keep-clear marking surrounds the tracks to keep the crossing unobstructed.,none,False,0
A_FT,17338,clip_010.mp4,Set_33,What road marking is visible on the center lane near the camera?,Center line,A boxed road marking surrounds the rail crossing to keep vehicles clear when a train approaches.,none,False,0
A_FT,17340,clip_010.mp4,Set_33,What is the visible exterior color of the tall building along the right side?,White and black.,a light stone-colored building.,none,False,0
A_FT,17353,clip_011.mp4,Set_33,Can you determine what is the purpose of the train tracks?,"No, it is not clear what the purpose of the train tracks is.",The tracks are surrounded by a marked box that signals drivers to leave the area unobstructed.,none,False,1
A_FT,17362,clip_012.mp4,Set_33,What pavement marking is visible on the center lane near the camera?,Centerline,A safety box is painted around the tracks to prevent vehicles from waiting in that zone.,none,False,0
A_FT,17365,clip_012.mp4,Set_33,What is the apparent color of the tall building located to the right of the roadway?,White,a pale gray-toned structure.,none,False,0
A_FT,17377,clip_013.mp4,Set_33,What lane marking is visible on the center lane near the camera?,Center line,The area appears sunlit.,none,False,1
A_FT,17378,clip_014.mp4,Set_33,What painted marking is visible on the center lane near the camera?,A crosswalk is painted on the center lane near the camera.,A boxed road marking surrounds the rail crossing to keep vehicles clear when a train approaches.,none,False,0
A_FT,17392,clip_015.mp4,Set_33,What shade is the tall building positioned on the right side of the street?,The tall building positioned on the right side of the street is white in color.,The area appears sunlit.,none,False,0
A_FT,17396,clip_015.mp4,Set_33,What painted symbol is visible on the center lane near the camera?,X,A painted box around the tracks indicates the area should remain clear for train movement.,none,False,0
A_FT,17405,clip_016.mp4,Set_33,What road marking is visible on the center lane at the front of the frame?,Center line,The crossing is highlighted by a boxed junction marking that discourages vehicles from stopping over the rails.,none,False,0
A_FT,17411,clip_017.mp4,Set_33,What pavement marking is visible on the center lane at the front of the frame?,Center line,The roadway shows a boxed keep-clear marking around the rails for crossing safety.,none,False,0
A_FT,17427,clip_018.mp4,Set_33,What lane marking is visible on the center lane at the front of the frame?,Center line,The tracks are surrounded by a marked keep-clear zone to help avoid blocking the crossing.,none,False,1
A_FT,17436,clip_019.mp4,Set_33,What painted marking is visible on the center lane at the front of the frame?,A solid white line is visible on the center lane at the front of the frame.,The lighting is bright and natural.,none,False,1
A_FT,17446,clip_020.mp4,Set_33,What painted symbol is visible on the center lane at the front of the frame?,X,A painted box around the tracks indicates the area should remain clear for train movement.,none,False,0
A_FT,17450,clip_021.mp4,Set_33,What road marking is visible on the center lane in the near end of the view?,Center line,"A marked box outlines the rail crossing, signaling cars not to block the tracks.",none,False,0
A_FT,17458,clip_022.mp4,Set_33,How would you describe the color of the tall structure on the right side of the roadway?,The tall structure on the right side of the roadway is white in color.,a light concrete-colored exterior.,none,False,0
A_FT,17466,clip_022.mp4,Set_33,What pavement marking is visible on the center lane in the near end of the view?,Center line,A painted box around the tracks indicates the area should remain clear for train movement.,none,False,0
A_FT,17472,clip_023.mp4,Set_33,What shade is the tall building positioned on the right side of the street?,The tall building positioned on the right side of the street is white in color.,a light gray concrete facade.,none,False,0
A_FT,17476,clip_023.mp4,Set_33,What lane marking is visible on the center lane in the near end of the view?,Center line,A painted box around the tracks indicates the area should remain clear for train movement.,none,False,0
A_FT,17487,clip_024.mp4,Set_33,What painted marking is visible on the center lane in the near end of the view?,A solid white line is visible on the center lane in the near end of the view.,The tracks are surrounded by a marked keep-clear zone to help avoid blocking the crossing.,none,False,1
A_FT,17494,clip_025.mp4,Set_33,What painted symbol is visible on the center lane in the near end of the view?,X,The scene is lit by natural light.,none,False,0
A_FT,17506,clip_026.mp4,Set_33,What road marking is visible on the center lane closest part of the shot?,Center line,A painted box around the tracks indicates the area should remain clear for train movement.,none,False,0
A_FT,17512,clip_027.mp4,Set_33,What pavement marking is visible on the center lane closest part of the shot?,Centerline,A safety box is painted around the tracks to prevent vehicles from waiting in that zone.,none,False,0
A_FT,17521,clip_028.mp4,Set_33,What lane marking is visible on the center lane closest part of the shot?,Center lane has solid white line.,The roadway shows a boxed keep-clear marking around the rails for crossing safety.,none,False,0
A_FT,17530,clip_029.mp4,Set_33,What painted marking is visible on the center lane closest part of the shot?,Center line,"A marked box outlines the rail crossing, signaling cars not to block the tracks.",none,False,0
A_FT,17545,clip_030.mp4,Set_33,What painted symbol is visible on the center lane closest part of the shot?,X,The crossing is highlighted by a boxed junction marking that discourages vehicles from stopping over the rails.,none,False,0
A_FT,17548,clip_031.mp4,Set_33,What road marking is visible on the central lane closest to the camera?,Center line,The lighting suggests the scene takes place during the day.,none,False,1
A_FT,17558,clip_032.mp4,Set_33,What pavement marking is visible on the central lane closest to the camera?,Center line,A boxed road marking surrounds the rail crossing to keep vehicles clear when a train approaches.,none,False,0
A_FT,17566,clip_032.mp4,Set_33,How does the tall building on the right appear visually in color?,Gray,The scene is evenly lit with ambient light.,none,False,1
A_FT,17574,clip_033.mp4,Set_33,What lane marking is visible on the central lane closest to the camera?,Center line,The road marking forms a box around the tracks to prevent vehicles from waiting in that zone.,none,False,0
A_FT,17582,clip_034.mp4,Set_33,What painted marking is visible on the central lane closest to the camera?,A white line is painted on the central lane closest to the camera.,The rail crossing area is boxed off to keep cars from occupying the tracks when trains pass.,none,False,1
A_FT,17595,clip_035.mp4,Set_33,What painted symbol is visible on the central lane closest to the camera?,X,The crossing is highlighted by a boxed junction marking that discourages vehicles from stopping over the rails.,none,False,0
A_FT,17603,clip_036.mp4,Set_33,What road marking is visible on the central lane nearest the camera?,Center line,The rail crossing area is boxed off so cars do not occupy the tracks when trains pass.,none,False,0
A_FT,17609,clip_037.mp4,Set_33,What painted box pattern can be seen on the lane closest to the viewer?,The painted box pattern is a diamond shape.,A painted box pattern can be seen on the lane closest to the viewer.,none,False,1
A_FT,17617,clip_037.mp4,Set_33,What coloring is visible on the tall building situated on the right side?,Gray and white.,The area appears sunlit.,none,False,0
A_FT,17621,clip_038.mp4,Set_33,What lane marking is visible on the central lane nearest the camera?,Center line,The roadway shows a boxed keep-clear marking around the rails for crossing safety.,none,False,0
A_FT,17636,clip_039.mp4,Set_33,What painted marking is visible on the central lane nearest the camera?,A solid white line is visible on the central lane nearest the camera.,A painted box around the tracks indicates the area should remain clear for train movement.,none,False,0
A_FT,17639,clip_040.mp4,Set_33,Can you determine what colour is the tall building on the right side of the street?,The tall building on the right side of the street is grey in color.,a pale neutral-toned facade.,none,False,1
A_FT,17642,clip_040.mp4,Set_33,Can you determine what large marking is visible in the middle lane nearest the camera?,"No, it is not possible to determine what large marking is visible in the middle lane nearest the camera.",A safety box is painted around the tracks to prevent vehicles from waiting in that zone.,none,False,0
A_FT,17649,clip_041.mp4,Set_33,Can you determine what large marking is visible in the middle lane nearest the camera ?,"Yes, there is a large marking in the middle lane nearest the camera.",The train tracks are enclosed by a keep-clear box so drivers avoid stopping on the crossing.,none,False,1
A_FT,17650,clip_041.mp4,Set_33,Is the tallest structure in view positioned on the right side of the road?,Yes,The tallest visible structure is positioned on the right side of the road.,none,False,1
A_FT,17658,clip_042.mp4,Set_33,Can you determine what large marking is visible in the middle lane nearest the camera ?,no,A boxed road marking surrounds the rail crossing to keep vehicles clear when a train approaches.,none,False,0
A_FT,17664,clip_042.mp4,Set_33,Can you determine what colour is the tall building on the right side of the street ?,The tall building on the right side of the street is grey in color.,a softly colored concrete building.,none,False,1
A_FT,17673,clip_043.mp4,Set_33,Is the prominent building located beyond the tracks on the right?,Yes,The prominent building sits on the right beyond the track area.,none,False,1
A_FT,17676,clip_043.mp4,Set_33,Can you determine what large marking is visible in the middle lane nearest the camera ?,"No, it's not clearly indicated.",A painted box around the tracks indicates the area should remain clear for train movement.,none,False,1
A_FT,17679,clip_044.mp4,Set_33,Can you determine what colour is the tall building on the right side of the street ?,The tall building on the right side of the street is grey in color.,a pale neutral-toned facade.,none,False,1
