question_id,video_file_path,set,qtype,question,generated_answer,actual_answer,kg_hint_used,judge_score
Morning3-3min_clips_17039,clip_000.mp4,Set_26,Atr,What large marking is painted in the central lane near the camera?,The large marking painted in the central lane near the camera is a crosswalk.,A white “X” marking is painted there,True,0
Morning3-3min_clips_17040,clip_000.mp4,Set_26,Atr,What colour is the tall building on the right side of the road?,The tall building on the right side of the road is olive-gray.,It is a beige-grey concrete colour,True,1
Morning3-3min_clips_17139,clip_010.mp4,Set_26,Atr,What large marking is painted in the central lane near the camera and are there any other signs apart from that?,There is no large marking painted in the central lane near the camera. There are no other signs apart from the white marking.,A white “X” marking is painted there and there is a yellow street sign on the road,True,0
Morning3-3min_clips_17140,clip_010.mp4,Set_26,Atr,What colour is the train that crosses the road?,The train that crosses the road is purple in color.,It is purple grey and green in color,True,0
Morning5-3min_clips_17999,clip_000.mp4,Set_30,Atr,What large marking is painted in the central lane near the camera?,The large marking painted in the central lane near the camera is a white marking.,A white “X” road marking,True,1
Morning5-3min_clips_18000,clip_000.mp4,Set_30,Atr,What colour is the tall building on the right side of the street?,The tall building on the right side of the street is olive-gray.,It is beige-grey concrete,True,1
Morning5-3min_clips_18099,clip_010.mp4,Set_30,Atr,What prominent white marking is painted in the centre lane?,The prominent white marking painted in the center lane is a solid line.,A large white “X” marking,True,0
Morning5-3min_clips_18100,clip_010.mp4,Set_30,Atr,What kind of tall plant is visible near the road's centre?,There is a palm tree visible near the center of the road.,A few palm trees and smaller trees,True,1
Morning5-3min_clips_18110,clip_011.mp4,Set_30,Atr,What kind of tall plant is visible near the road's centre?,There is a palm tree visible near the center of the road.,A few palm trees and other smaller trees,True,1
Morning5-3min_clips_18120,clip_012.mp4,Set_30,Atr,What kind of tall plant is visible near the road's centre?,There is a palm tree visible near the road's center.,A few palm trees and a few trees by the road,True,1
Morning5-3min_clips_18140,clip_014.mp4,Set_30,Atr,What kind of tall plant is visible near the road's centre?,There is a palm tree visible near the center of the road.,A few palm trees,True,1
Morning5-3min_clips_18150,clip_015.mp4,Set_30,Atr,What kind of tall plant is visible near the road's centre?,There is a palm tree visible near the road's center.,A single palm tree,True,1
Morning4-12min_clips_17639,clip_040.mp4,Set_33,Atr,What large marking is visible in the middle lane nearest the camera?,The large marking visible in the middle lane nearest the camera is a white marking.,A white “X” road marking,True,1
17239,clip_000.mp4,Set_33,Atr,What road marking is visible on the center lane closest to the camera?,The road marking visible on the center lane closest to the camera is a keep-clear box.,The train tracks are enclosed by a keep-clear box so drivers avoid stopping on the crossing.,True,1
17244,clip_000.mp4,Set_33,Atr,What color does the tall roadside building on the right seem to be?,The tall roadside building on the right seems to be beige in color.,a softly colored concrete building.,True,1
17248,clip_001.mp4,Set_33,Atr,What pavement marking is visible on the center lane closest to the camera?,The pavement marking visible on the center lane closest to the camera is a keep-clear box.,A boxed road marking surrounds the rail crossing to keep vehicles clear when a train approaches.,True,1
17251,clip_001.mp4,Set_33,Atr,How does the tall building on the right side of the road appear in terms of color?,The tall building on the right side of the road appears to be beige in color.,a muted concrete-toned structure.,True,1
17261,clip_002.mp4,Set_33,Atr,What boxed road marking is painted on the lane nearest the camera?,The boxed road marking painted on the lane nearest the camera is a keep-clear box.,A boxed road marking is painted on the lane nearest the camera.,True,1
17266,clip_002.mp4,Set_33,Atr,How does the tall building on the right appear visually in color?,The tall building on the right appears visually in color as beige.,a light-toned urban building.,True,1
17274,clip_003.mp4,Set_33,Atr,What painted marking is visible on the center lane closest to the camera?,The painted marking visible on the center lane closest to the camera is a keep-clear box.,A rectangular keep-clear marking surrounds the tracks to keep the crossing unobstructed.,True,1
17276,clip_003.mp4,Set_33,Atr,Can you determine what color is the tall structure located on the right?,The tall structure located on the right is beige in color.,a light-toned urban building.,True,1
17277,clip_003.mp4,Set_33,Atr,What coloring is visible on the tall building situated on the right side?,The tall building situated on the right side has a beige coloring.,The lighting conditions appear bright and clear.,True,1
17280,clip_004.mp4,Set_33,Atr,What painted symbol is visible on the center lane closest to the camera?,The painted symbol on the center lane closest to the camera is a solid white line.,"A marked box outlines the rail crossing, signaling cars not to block the tracks.",True,0
17287,clip_004.mp4,Set_33,Atr,What coloring is visible on the tall building situated on the right side?,The tall building situated on the right side has a beige coloring.,a subdued concrete-colored facade.,True,1
17291,clip_005.mp4,Set_33,Atr,What road marking is visible on the center lane nearest the camera?,The road marking visible on the center lane nearest the camera is a white marking.,The roadway shows a boxed keep-clear marking around the rails for crossing safety.,True,0
17299,clip_006.mp4,Set_33,Atr,What color tone does the tall building on the right appear to have?,The tall building on the right appears to have a sandy-beige color tone.,a pale neutral-toned facade.,True,1
17301,clip_006.mp4,Set_33,Atr,What pavement marking is visible on the center lane nearest the camera?,The pavement marking visible on the center lane nearest the camera is a white marking.,The roadway shows a boxed keep-clear marking around the rails for crossing safety.,True,0
17308,clip_007.mp4,Set_33,Atr,What lane marking is visible on the center lane nearest the camera?,The lane marking visible on the center lane nearest the camera is a solid white line.,A boxed road marking surrounds the rail crossing to keep vehicles clear when a train approaches.,True,0
17327,clip_008.mp4,Set_33,Atr,What painted marking is visible on the center lane nearest the camera?,The painted marking visible on the center lane nearest the camera is a white marking.,Clear natural lighting is present.,True,1
17334,clip_009.mp4,Set_33,Atr,What painted symbol is visible on the center lane nearest the camera?,The painted symbol on the center lane nearest the camera is a crosswalk.,A rectangular keep-clear marking surrounds the tracks to keep the crossing unobstructed.,True,0
17338,clip_010.mp4,Set_33,Atr,What road marking is visible on the center lane near the camera?,The road marking visible on the center lane near the camera is a white marking.,A boxed road marking surrounds the rail crossing to keep vehicles clear when a train approaches.,True,0
17340,clip_010.mp4,Set_33,Atr,What is the visible exterior color of the tall building along the right side?,The exterior color of the tall building along the right side is beige.,a light stone-colored building.,True,1
17353,clip_011.mp4,Set_33,Atr,Can you determine what is the purpose of the train tracks?,"The train tracks in the image appear to be part of a commuter rail system, likely serving as a rapid transit line connecting different parts of the city. The presence of multiple trains and stations suggests that it is designed for efficient public transportation, reducing traffic congestion and providing an alternative mode of travel for commuters.",The tracks are surrounded by a marked box that signals drivers to leave the area unobstructed.,False,1
17362,clip_012.mp4,Set_33,Atr,What pavement marking is visible on the center lane near the camera?,The pavement marking visible on the center lane near the camera is a white marking.,A safety box is painted around the tracks to prevent vehicles from waiting in that zone.,True,0
17365,clip_012.mp4,Set_33,Atr,What is the apparent color of the tall building located to the right of the roadway?,The tall building located to the right of the roadway appears to be beige in color.,a pale gray-toned structure.,True,1
17377,clip_013.mp4,Set_33,Atr,What lane marking is visible on the center lane near the camera?,The lane marking visible on the center lane near the camera is a solid white line.,The area appears sunlit.,True,0
17378,clip_014.mp4,Set_33,Atr,What painted marking is visible on the center lane near the camera?,The painted marking visible on the center lane near the camera is a white marking.,A boxed road marking surrounds the rail crossing to keep vehicles clear when a train approaches.,True,0
17392,clip_015.mp4,Set_33,Atr,What shade is the tall building positioned on the right side of the street?,The tall building positioned on the right side of the street is beige in color.,The area appears sunlit.,True,0
17396,clip_015.mp4,Set_33,Atr,What painted symbol is visible on the center lane near the camera?,The painted symbol visible on the center lane near the camera is a solid white line.,A painted box around the tracks indicates the area should remain clear for train movement.,True,0
17405,clip_016.mp4,Set_33,Atr,What road marking is visible on the center lane at the front of the frame?,The road marking visible on the center lane at the front of the frame is a white marking.,The crossing is highlighted by a boxed junction marking that discourages vehicles from stopping over the rails.,True,0
17411,clip_017.mp4,Set_33,Atr,What pavement marking is visible on the center lane at the front of the frame?,The pavement marking visible on the center lane at the front of the frame is a solid white line.,The roadway shows a boxed keep-clear marking around the rails for crossing safety.,True,0
17427,clip_018.mp4,Set_33,Atr,What lane marking is visible on the center lane at the front of the frame?,The lane marking visible on the center lane at the front of the frame is a solid white line.,The tracks are surrounded by a marked keep-clear zone to help avoid blocking the crossing.,True,1
17436,clip_019.mp4,Set_33,Atr,What painted marking is visible on the center lane at the front of the frame?,The painted marking visible on the center lane at the front of the frame is a solid white line.,The lighting is bright and natural.,True,1
17446,clip_020.mp4,Set_33,Atr,What painted symbol is visible on the center lane at the front of the frame?,The painted symbol visible on the center lane at the front of the frame is a crosswalk.,A painted box around the tracks indicates the area should remain clear for train movement.,True,0
17450,clip_021.mp4,Set_33,Atr,What road marking is visible on the center lane in the near end of the view?,The road marking visible on the center lane in the near end of the view is a solid white line.,"A marked box outlines the rail crossing, signaling cars not to block the tracks.",True,0
17458,clip_022.mp4,Set_33,Atr,How would you describe the color of the tall structure on the right side of the roadway?,The tall structure on the right side of the roadway is beige in color.,a light concrete-colored exterior.,True,1
17466,clip_022.mp4,Set_33,Atr,What pavement marking is visible on the center lane in the near end of the view?,The pavement marking visible on the center lane in the near end of the view is a solid white line.,A painted box around the tracks indicates the area should remain clear for train movement.,True,0
17472,clip_023.mp4,Set_33,Atr,What shade is the tall building positioned on the right side of the street?,The tall building positioned on the right side of the street is beige in color.,a light gray concrete facade.,True,0
17476,clip_023.mp4,Set_33,Atr,What lane marking is visible on the center lane in the near end of the view?,The lane marking visible on the center lane in the near end of the view is a solid white line.,A painted box around the tracks indicates the area should remain clear for train movement.,True,0
17487,clip_024.mp4,Set_33,Atr,What painted marking is visible on the center lane in the near end of the view?,The painted marking visible on the center lane in the near end of the view is a solid white line.,The tracks are surrounded by a marked keep-clear zone to help avoid blocking the crossing.,True,1
17494,clip_025.mp4,Set_33,Atr,What painted symbol is visible on the center lane in the near end of the view?,The painted symbol visible on the center lane in the near end of the view is a crosswalk.,The scene is lit by natural light.,True,0
17506,clip_026.mp4,Set_33,Atr,What road marking is visible on the center lane closest part of the shot?,The road marking visible on the center lane closest part of the shot is a white marking.,A painted box around the tracks indicates the area should remain clear for train movement.,True,0
17512,clip_027.mp4,Set_33,Atr,What pavement marking is visible on the center lane closest part of the shot?,The pavement marking visible in the center lane closest to the camera is a solid white line.,A safety box is painted around the tracks to prevent vehicles from waiting in that zone.,True,0
17521,clip_028.mp4,Set_33,Atr,What lane marking is visible on the center lane closest part of the shot?,The lane marking visible on the center lane closest part of the shot is a solid white line.,The roadway shows a boxed keep-clear marking around the rails for crossing safety.,True,0
17530,clip_029.mp4,Set_33,Atr,What painted marking is visible on the center lane closest part of the shot?,The painted marking visible on the center lane closest part of the shot is a solid white line.,"A marked box outlines the rail crossing, signaling cars not to block the tracks.",True,0
17545,clip_030.mp4,Set_33,Atr,What painted symbol is visible on the center lane closest part of the shot?,The painted symbol visible on the center lane closest part of the shot is a crosswalk.,The crossing is highlighted by a boxed junction marking that discourages vehicles from stopping over the rails.,True,0
17548,clip_031.mp4,Set_33,Atr,What road marking is visible on the central lane closest to the camera?,The road marking visible on the central lane closest to the camera is a white marking.,The lighting suggests the scene takes place during the day.,True,1
17558,clip_032.mp4,Set_33,Atr,What pavement marking is visible on the central lane closest to the camera?,The pavement marking visible on the central lane closest to the camera is a white marking.,A boxed road marking surrounds the rail crossing to keep vehicles clear when a train approaches.,True,0
17566,clip_032.mp4,Set_33,Atr,How does the tall building on the right appear visually in color?,The tall building on the right appears visually in color as beige.,The scene is evenly lit with ambient light.,True,1
17574,clip_033.mp4,Set_33,Atr,What lane marking is visible on the central lane closest to the camera?,The lane marking visible on the central lane closest to the camera is a solid white line.,The road marking forms a box around the tracks to prevent vehicles from waiting in that zone.,True,0
17582,clip_034.mp4,Set_33,Atr,What painted marking is visible on the central lane closest to the camera?,The painted marking visible on the central lane closest to the camera is a white marking.,The rail crossing area is boxed off to keep cars from occupying the tracks when trains pass.,True,0
17595,clip_035.mp4,Set_33,Atr,What painted symbol is visible on the central lane closest to the camera?,The painted symbol on the central lane closest to the camera is a solid yellow line.,The crossing is highlighted by a boxed junction marking that discourages vehicles from stopping over the rails.,True,0
17603,clip_036.mp4,Set_33,Atr,What road marking is visible on the central lane nearest the camera?,The road marking visible on the central lane nearest the camera is a white marking.,The rail crossing area is boxed off so cars do not occupy the tracks when trains pass.,True,0
17609,clip_037.mp4,Set_33,Atr,What painted box pattern can be seen on the lane closest to the viewer?,The painted box pattern on the lane closest to the viewer is a solid white line.,A painted box pattern can be seen on the lane closest to the viewer.,True,0
17617,clip_037.mp4,Set_33,Atr,What coloring is visible on the tall building situated on the right side?,The tall building situated on the right side has a sandy-beige coloring.,The area appears sunlit.,True,1
17621,clip_038.mp4,Set_33,Atr,What lane marking is visible on the central lane nearest the camera?,The lane marking visible on the central lane nearest the camera is a solid white line.,The roadway shows a boxed keep-clear marking around the rails for crossing safety.,True,0
17636,clip_039.mp4,Set_33,Atr,What painted marking is visible on the central lane nearest the camera?,The painted marking visible on the central lane nearest the camera is a white marking.,A painted box around the tracks indicates the area should remain clear for train movement.,True,0
17639,clip_040.mp4,Set_33,Atr,Can you determine what colour is the tall building on the right side of the street?,The tall building on the right side of the street is beige in color.,a pale neutral-toned facade.,True,1
17642,clip_040.mp4,Set_33,Atr,Can you determine what large marking is visible in the middle lane nearest the camera?,The large marking visible in the middle lane nearest the camera is a white marking.,A safety box is painted around the tracks to prevent vehicles from waiting in that zone.,True,0
17649,clip_041.mp4,Set_33,Atr,Can you determine what large marking is visible in the middle lane nearest the camera ?,The large marking visible in the middle lane nearest the camera is a white marking.,The train tracks are enclosed by a keep-clear box so drivers avoid stopping on the crossing.,True,0
17650,clip_041.mp4,Set_33,Atr,Is the tallest structure in view positioned on the right side of the road?,"No, the tallest structure in view is not positioned on the right side of the road.",The tallest visible structure is positioned on the right side of the road.,True,0
17658,clip_042.mp4,Set_33,Atr,Can you determine what large marking is visible in the middle lane nearest the camera ?,The large marking visible in the middle lane nearest the camera is a white marking.,A boxed road marking surrounds the rail crossing to keep vehicles clear when a train approaches.,True,0
17664,clip_042.mp4,Set_33,Atr,Can you determine what colour is the tall building on the right side of the street ?,The tall building on the right side of the street is beige in color.,a softly colored concrete building.,True,1
17673,clip_043.mp4,Set_33,Atr,Is the prominent building located beyond the tracks on the right?,"No, the prominent building is not located beyond the tracks on the right.",The prominent building sits on the right beyond the track area.,True,0
17676,clip_043.mp4,Set_33,Atr,Can you determine what large marking is visible in the middle lane nearest the camera ?,The large marking visible in the middle lane nearest the camera is a white marking.,A painted box around the tracks indicates the area should remain clear for train movement.,True,0
17679,clip_044.mp4,Set_33,Atr,Can you determine what colour is the tall building on the right side of the street ?,The tall building on the right side of the street is beige in color.,a pale neutral-toned facade.,True,1
17685,clip_044.mp4,Set_33,Atr,Can you determine what large marking is visible in the middle lane nearest the camera ?,The large marking visible in the middle lane nearest the camera is a white marking.,The crossing is highlighted by a boxed junction marking that discourages vehicles from stopping over the rails.,True,0
17688,clip_045.mp4,Set_33,Atr,Is the right-side building set back behind the roadway rather than next to the curb?,Yes,The building is set back behind the roadway rather than beside the near curb.,True,1
17697,clip_045.mp4,Set_33,Atr,Can you determine what large marking is visible in the middle lane nearest the camera ?,The large marking visible in the middle lane nearest the camera is a white marking.,The tracks are surrounded by a marked keep-clear zone to help avoid blocking the crossing.,True,1
17699,clip_046.mp4,Set_33,Atr,What large boxed marking is visible in the middle lane near the bottom of the frame?,The large boxed marking visible in the middle lane near the bottom of the frame is a white marking.,A large boxed marking is visible in the middle lane near the bottom of the frame.,True,1
17711,clip_047.mp4,Set_33,Atr,Can you determine what large marking is visible in the middle lane nearest the camera ?,The large marking visible in the middle lane nearest the camera is a white marking.,A boxed junction marking highlights the rail crossing and discourages vehicles from stopping there.,True,0
