condition,question_id,video_id,set,question,generated_answer,actual_answer,kg_components,kg_hint_used,judge_score
A_ZeroShot,Morning3-3min_clips_17039,clip_000.mp4,Set_26,What large marking is painted in the central lane near the camera?,A crosswalk is painted in the central lane near the camera.,A white “X” marking is painted there,none,False,0
A_ZeroShot,Morning3-3min_clips_17040,clip_000.mp4,Set_26,What colour is the tall building on the right side of the road?,The tall building on the right side of the road is white.,It is a beige-grey concrete colour,none,False,0
A_ZeroShot,Morning3-3min_clips_17139,clip_010.mp4,Set_26,What large marking is painted in the central lane near the camera and are there any other signs apart from that?,There is no large marking painted in the central lane near the camera. There are no other signs apart from that.,A white “X” marking is painted there and there is a yellow street sign on the road,none,False,0
A_ZeroShot,Morning3-3min_clips_17140,clip_010.mp4,Set_26,What colour is the train that crosses the road?,The train that crosses the road is purple in color.,It is purple grey and green in color,none,False,0
A_ZeroShot,Morning5-3min_clips_17999,clip_000.mp4,Set_30,What large marking is painted in the central lane near the camera?,A white cross is painted in the central lane near the camera.,A white “X” road marking,none,False,1
A_ZeroShot,Morning5-3min_clips_18000,clip_000.mp4,Set_30,What colour is the tall building on the right side of the street?,The tall building on the right side of the street is white.,It is beige-grey concrete,none,False,0
A_ZeroShot,Morning5-3min_clips_18099,clip_010.mp4,Set_30,What prominent white marking is painted in the centre lane?,A solid white line is painted in the center lane.,A large white “X” marking,none,False,0
A_ZeroShot,Morning5-3min_clips_18100,clip_010.mp4,Set_30,What kind of tall plant is visible near the road's centre?,Palm tree,A few palm trees and smaller trees,none,False,1
A_ZeroShot,Morning5-3min_clips_18110,clip_011.mp4,Set_30,What kind of tall plant is visible near the road's centre?,There is a palm tree visible near the road's center.,A few palm trees and other smaller trees,none,False,1
A_ZeroShot,Morning5-3min_clips_18120,clip_012.mp4,Set_30,What kind of tall plant is visible near the road's centre?,There is a palm tree visible near the road's center.,A few palm trees and a few trees by the road,none,False,1
A_ZeroShot,Morning5-3min_clips_18140,clip_014.mp4,Set_30,What kind of tall plant is visible near the road's centre?,There is a palm tree visible near the road's center.,A few palm trees,none,False,1
A_ZeroShot,Morning5-3min_clips_18150,clip_015.mp4,Set_30,What kind of tall plant is visible near the road's centre?,There is a palm tree visible near the road's center.,A single palm tree,none,False,1
A_ZeroShot,Morning4-12min_clips_17639,clip_040.mp4,Set_33,What large marking is visible in the middle lane nearest the camera?,"A large marking is visible in the middle lane nearest the camera, it is a white line.",A white “X” road marking,none,False,0
A_ZeroShot,17239,clip_000.mp4,Set_33,What road marking is visible on the center lane closest to the camera?,Center line,The train tracks are enclosed by a keep-clear box so drivers avoid stopping on the crossing.,none,False,0
A_ZeroShot,17244,clip_000.mp4,Set_33,What color does the tall roadside building on the right seem to be?,The tall roadside building on the right seems to be white.,a softly colored concrete building.,none,False,0
A_ZeroShot,17248,clip_001.mp4,Set_33,What pavement marking is visible on the center lane closest to the camera?,A crosswalk is visible on the center lane closest to the camera.,A boxed road marking surrounds the rail crossing to keep vehicles clear when a train approaches.,none,False,0
A_ZeroShot,17251,clip_001.mp4,Set_33,How does the tall building on the right side of the road appear in terms of color?,The tall building on the right side of the road appears to be white.,a muted concrete-toned structure.,none,False,0
A_ZeroShot,17261,clip_002.mp4,Set_33,What boxed road marking is painted on the lane nearest the camera?,The boxed road marking painted on the lane nearest the camera is a crosswalk.,A boxed road marking is painted on the lane nearest the camera.,none,False,0
A_ZeroShot,17266,clip_002.mp4,Set_33,How does the tall building on the right appear visually in color?,The tall building on the right appears to be white in color.,a light-toned urban building.,none,False,0
A_ZeroShot,17274,clip_003.mp4,Set_33,What painted marking is visible on the center lane closest to the camera?,A crosswalk is painted on the center lane closest to the camera.,A rectangular keep-clear marking surrounds the tracks to keep the crossing unobstructed.,none,False,0
A_ZeroShot,17276,clip_003.mp4,Set_33,Can you determine what color is the tall structure located on the right?,The tall structure located on the right is white in color.,a light-toned urban building.,none,False,0
A_ZeroShot,17277,clip_003.mp4,Set_33,What coloring is visible on the tall building situated on the right side?,White and black.,The lighting conditions appear bright and clear.,none,False,0
